,nv,ret,max_d
2022/9/27,1.001754485,,0
2022/9/28,1.011264053,0.009492913,0
2022/9/29,1.009781725,-0.001465817,-0.001465817
2022/9/30,1.014491628,0.004664279,0
2022/10/10,0.995243628,-0.01897305,-0.01897305
2022/10/11,0.994907628,-0.000337606,-0.01930425
2022/10/12,0.999570057,0.004686293,-0.014708422
2022/10/13,1.007304618,0.007737888,-0.007084346
2022/10/14,1.029363384,0.021898803,0
2022/10/17,1.030494175,0.001098534,0
2022/10/18,1.030974175,0.000465796,0
2022/10/19,1.041177795,0.009897067,0
2022/10/20,1.037343795,-0.003682368,-0.003682368
2022/10/21,1.027307512,-0.009674983,-0.013321724
2022/10/24,1.053767512,0.02575665,0
2022/10/25,1.052858422,-0.000862704,-0.000862704
2022/10/26,1.057781081,0.004675518,0
2022/10/27,1.064099081,0.005972881,0
2022/10/28,1.085238549,0.019866072,0
2022/10/31,1.073478549,-0.010836327,-0.010836327
2022/11/1,1.10573362,0.030047243,0
2022/11/2,1.108248707,0.002274587,0
2022/11/3,1.113108771,0.004385355,0
2022/11/4,1.151962683,0.034905763,0
2022/11/7,1.151756592,-0.000178904,-0.000178904
2022/11/8,1.159316592,0.006563887,0
2022/11/9,1.172636592,0.011489528,0
2022/11/10,1.178096592,0.004656174,0
2022/11/11,1.141050252,-0.031445928,-0.031445928
2022/11/14,1.141384082,0.000292564,-0.031162564
2022/11/15,1.164757365,0.020478017,-0.011322694
2022/11/16,1.164790876,2.87707E-05,-0.011294249
2022/11/17,1.171270876,0.00556323,-0.005793851
2022/11/18,1.172830876,0.001331887,-0.004469681
2022/11/21,1.182670876,0.008389956,0
2022/11/22,1.183690876,0.000862455,0
2022/11/23,1.182190876,-0.001267223,-0.001267223
2022/11/24,1.188130876,0.005024569,0
2022/11/25,1.181770876,-0.005352946,-0.005352946
2022/11/28,1.201219442,0.016457138,0
2022/11/29,1.234612888,0.027799622,0
2022/11/30,1.231886313,-0.002208445,-0.002208445
2022/12/1,1.216019312,-0.012880248,-0.015060248
2022/12/2,1.216019312,0,-0.015060248
2022/12/5,1.216019312,0,-0.015060248
2022/12/6,1.215391935,-0.000515928,-0.015568405
2022/12/7,1.218871935,0.002863274,-0.012749708
2022/12/8,1.215151935,-0.003052002,-0.015762798
2022/12/9,1.204831935,-0.008492765,-0.024121693
2022/12/12,1.217371935,0.010408091,-0.013964664
2022/12/13,1.221151935,0.003105049,-0.010902975
2022/12/14,1.218091935,-0.002505831,-0.013381485
2022/12/15,1.220311935,0.001822523,-0.01158335
2022/12/16,1.214311935,-0.004916776,-0.016443173
2022/12/19,1.233091935,0.015465548,-0.001231927
2022/12/20,1.250731935,0.014305503,0
2022/12/21,1.252531935,0.001439157,0
2022/12/22,1.249831935,-0.002155634,-0.002155634
2022/12/28,1.240831935,-0.007200968,-0.009341079
2022/12/29,1.245871935,0.004061791,-0.00531723
2022/12/30,1.242511935,-0.002696906,-0.007999796
2023/1/3,1.238071935,-0.003573406,-0.011544616
2023/1/4,1.236931935,-0.000920787,-0.012454772
2023/1/5,1.214011935,-0.018529718,-0.030753707
2023/1/6,1.209091935,-0.004052678,-0.03468175
2023/1/9,1.202851935,-0.005160898,-0.039663659
2023/1/10,1.200931935,-0.001596206,-0.041196554
2023/1/11,1.201171935,0.000199845,-0.041004943
2023/1/12,1.198951935,-0.001848195,-0.042777352
2023/1/13,1.179091935,-0.016564467,-0.058633236
2023/1/16,1.161451935,-0.014960665,-0.072716709
2023/1/17,1.162231935,0.000671573,-0.07209397
2023/1/18,1.166311935,0.003510487,-0.068836568
2023/1/19,1.158931935,-0.006327638,-0.074728634
2023/1/20,1.148611935,-0.008904751,-0.082967944
2023/1/30,1.143931935,-0.004074483,-0.086704376
2023/1/31,1.152541205,0.007526034,-0.079830882
2023/2/1,1.155999162,0.003000289,-0.077070109
2023/2/2,1.159347162,0.002896196,-0.074397123
2023/2/3,1.170633162,0.009734789,-0.065386575
2023/2/6,1.188024452,0.014856311,-0.051501667
2023/2/7,1.188189632,0.000139037,-0.05136979
2023/2/8,1.193535632,0.004499282,-0.047101635
2023/2/9,1.178037632,-0.01298495,-0.059474973
2023/2/10,1.185111632,0.006004902,-0.053827212
2023/2/13,1.176633632,-0.007153756,-0.060595902
2023/2/14,1.173663632,-0.00252415,-0.062967099
2023/2/15,1.181655632,0.006809447,-0.056586423
2023/2/16,1.189863632,0.006946186,-0.050033297
2023/2/17,1.19294525,0.002589892,-0.047572986
2023/2/20,1.22143154,0.023878958,-0.024830021
2023/2/21,1.221459771,2.3113E-05,-0.024807482
2023/2/22,1.232151771,0.008753461,-0.016271173
2023/2/23,1.232583771,0.000350606,-0.015926272
2023/2/24,1.243545771,0.008893513,-0.007174399
2023/2/27,1.249514649,0.004799886,-0.002408949
2023/2/28,1.249514649,0,-0.002408949
2023/3/1,1.249514649,0,-0.002408949
2023/3/2,1.248766192,-0.000598998,-0.003006504
2023/3/3,1.244717626,-0.003242053,-0.00623881
2023/3/6,1.245229303,0.000411079,-0.005830296
2023/3/7,1.261969303,0.013443307,0
2023/3/8,1.269681555,0.006111284,0
2023/3/9,1.269681555,0,0
2023/3/10,1.269354185,-0.000257836,-0.000257836
2023/3/13,1.280966555,0.00914825,0
2023/3/14,1.280039012,-0.000724097,-0.000724097
2023/3/15,1.282623922,0.0020194,0
2023/3/16,1.291329424,0.00678726,0
2023/3/17,1.297574735,0.004836342,0
2023/3/20,1.30244355,0.003752242,0
2023/3/21,1.315451029,0.009986981,0
2023/3/22,1.310633029,-0.003662622,-0.003662622
2023/3/23,1.296971029,-0.01042397,-0.014048414
2023/3/24,1.298291029,0.001017756,-0.013044955
2023/3/27,1.305419029,0.005490294,-0.007626282
2023/3/28,1.308587029,0.002426807,-0.005217982
2023/3/29,1.308719029,0.000100872,-0.005117636
2023/3/30,1.294265029,-0.011044387,-0.016105503
2023/3/31,1.290635029,-0.002804681,-0.018865012
2023/4/3,1.279317925,-0.008768632,-0.027468224
2023/4/4,1.280549582,0.000962745,-0.026531924
2023/4/11,1.276021314,-0.003536191,-0.029974293
2023/4/12,1.27485307,-0.000915537,-0.030862387
2023/4/13,1.28187307,0.005506517,-0.025525814
2023/4/14,1.275844823,-0.004702687,-0.030108461
2023/4/17,1.275844823,0,-0.030108461
2023/4/18,1.276416123,0.000447782,-0.029674161
2023/4/19,1.26789914,-0.006672576,-0.036148734
2023/4/20,1.27389914,0.004732238,-0.03158756
2023/4/21,1.29399914,0.015778329,-0.01630763
2023/4/24,1.312784172,0.014517036,-0.002027333
2023/4/25,1.306544172,-0.004753257,-0.006770953
2023/4/26,1.304864172,-0.001285835,-0.008048081
2023/4/27,1.31335662,0.006508301,-0.00159216
