,nv
2022-09-27,1.001754485248
2022-09-28,1.010901222208
2022-09-29,1.012560000016
2022-09-30,1.017434929072
2022-10-10,1.017434929072
2022-10-11,1.017434929072
2022-10-12,1.015398084448
2022-10-13,1.023057370096
2022-10-14,1.023057370096
2022-10-17,1.024188161152
2022-10-18,1.024668161152
2022-10-19,1.0359752502880002
2022-10-20,1.0359752502880002
2022-10-21,1.0380580447600003
2022-10-24,1.0645180447600004
2022-10-25,1.0633074689260005
2022-10-26,1.0617187987000003
2022-10-27,1.0680367987000003
2022-10-28,1.0884807084880004
2022-10-31,1.0884807084880004
2022-11-01,1.0884807084880004
2022-11-02,1.0909957960720005
2022-11-03,1.0986411183940008
2022-11-04,1.0986411183940008
2022-11-07,1.0984556371420007
2022-11-08,1.1052596371420007
2022-11-09,1.1172476371420006
2022-11-10,1.1221616371420005
2022-11-11,1.0888199310880005
2022-11-14,1.0888199310880005
2022-11-15,1.0888199310880005
2022-11-16,1.0888500908980003
2022-11-17,1.0946820908980002
2022-11-18,1.0960860908980001
2022-11-21,1.104942090898
2022-11-22,1.105860090898
2022-11-23,1.1045100908980001
2022-11-24,1.1098560908980002
2022-11-25,1.1041320908980004
2022-11-28,1.1231170406200002
2022-11-29,1.1231170406200002
2022-11-30,1.120663123426
2022-12-01,1.1063828224540002
2022-12-02,1.1063828224540002
2022-12-05,1.1063828224540002
2022-12-06,1.1058181824160003
2022-12-07,1.1089501824160004
2022-12-08,1.1056021824160003
2022-12-09,1.0963141824160003
2022-12-12,1.1076001824160002
2022-12-13,1.1110021824160006
2022-12-14,1.1082481824160004
2022-12-15,1.1102461824160008
2022-12-16,1.104846182416001
2022-12-19,1.1217481824160012
2022-12-20,1.1376241824160012
2022-12-21,1.139244182416001
2022-12-22,1.136814182416001
2022-12-28,1.128714182416001
2022-12-29,1.133250182416001
2022-12-30,1.130226182416001
2023-01-03,1.126230182416001
2023-01-04,1.1252041824160008
2023-01-05,1.1045761824160008
2023-01-06,1.1001481824160009
2023-01-09,1.0945321824160008
2023-01-10,1.0928041824160006
2023-01-11,1.0930201824160006
2023-01-12,1.0910221824160005
2023-01-13,1.0731481824160005
2023-01-16,1.0572721824160007
2023-01-17,1.0579741824160012
2023-01-18,1.061646182416001
2023-01-19,1.0550041824160012
2023-01-20,1.0457161824160015
2023-01-30,1.0415041824160014
2023-01-31,1.0494702345520015
2023-02-01,1.0487270781520015
2023-02-02,1.0517030781520018
2023-02-03,1.0617350781520016
2023-02-06,1.0770245565520016
2023-02-07,1.0770499444240018
2023-02-08,1.0818019444240017
2023-02-09,1.068025944424002
2023-02-10,1.074313944424002
2023-02-13,1.066777944424002
2023-02-14,1.0641379444240022
2023-02-15,1.0712419444240024
2023-02-16,1.0785379444240026
2023-02-17,1.0842274990000025
2023-02-20,1.0842274990000025
2023-02-21,1.0842525932080027
2023-02-22,1.0937565932080024
2023-02-23,1.0941405932080026
2023-02-24,1.1038845932080026
2023-02-27,1.1091902626000025
2023-02-28,1.1091902626000025
2023-03-01,1.1091902626000025
2023-03-02,1.1085914970160022
2023-03-03,1.1053526442160022
2023-03-06,1.1057619857200023
2023-03-07,1.1191539857200024
2023-03-08,1.1253237875920021
2023-03-09,1.1253237875920021
2023-03-10,1.1253237875920021
2023-03-13,1.1253237875920021
2023-03-14,1.1253237875920021
2023-03-15,1.126217010934002
2023-03-16,1.135156461562002
2023-03-17,1.133133891076002
2023-03-20,1.1374833752380022
2023-03-21,1.1368646196940022
2023-03-22,1.1329226196940019
2023-03-23,1.1217446196940017
2023-03-24,1.1228246196940017
2023-03-27,1.1286566196940013
2023-03-28,1.1312486196940015
2023-03-29,1.1313566196940015
2023-03-30,1.1195306196940014
2023-03-31,1.1165606196940017
2023-04-03,1.1073011711140015
